                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4976,                 3.8839,                 0.9015,                0.00893,                0.84722,                0.23232,                0.15038,                 1.2487,                 3.6324,                0.86127,             0.00032716,             0.00032716,             0.00032716
                      2,                 1.3196,                  2.057,                0.85822,                 0.8181,                0.26369,                0.65948,                0.46369,                 1.1145,                 2.3756,                 0.8541,             0.00065395,             0.00065395,             0.00065395
                      3,                 1.2654,                 1.5418,                0.85485,                0.78067,                0.67873,                0.78164,                0.52495,                 1.1645,                 1.1454,                0.85882,             0.00097415,             0.00097415,             0.00097415
                      4,                 1.2548,                 1.2755,                 0.8604,                0.75038,                0.82742,                0.85015,                0.60832,                 1.1012,                 1.0032,                0.85532,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2068,                 1.1363,                 0.8489,                0.91278,                 0.8022,                0.89447,                0.63828,                 1.1081,                0.80313,                0.85819,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1885,                 1.0726,                0.84998,                0.92055,                0.79049,                0.88804,                0.62411,                 1.1192,                0.80969,                0.85998,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1829,                  1.012,                 0.8552,                0.86406,                0.86162,                0.91427,                0.65697,                0.96237,                0.79913,                0.83999,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0974,                0.93689,                0.83837,                0.94324,                0.88552,                0.94366,                0.68793,                0.92728,                0.62954,                0.83676,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0901,                0.85256,                0.83261,                 0.9438,                0.87822,                0.93433,                0.67812,                0.95979,                0.65512,                0.83749,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1089,                0.86628,                0.83825,                0.94861,                0.89703,                0.94944,                0.68983,                 1.0169,                0.61944,                0.84092,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1012,                0.78614,                0.84719,                0.94156,                  0.845,                0.95548,                0.67384,                 0.9733,                0.65081,                0.84692,               0.000901,               0.000901,               0.000901
                     12,                 1.0872,                 0.7661,                0.83911,                0.98524,                0.90719,                 0.9485,                0.70106,                0.96913,                0.55564,                0.83949,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.0394,                0.70122,                0.82486,                0.94783,                0.92499,                0.96541,                0.70298,                 1.0343,                 0.5695,                0.83865,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.0895,                0.69035,                0.84007,                0.93044,                0.89685,                0.93347,                 0.7026,                0.94467,                0.57077,                0.83526,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.0545,                0.69781,                0.83444,                 0.9346,                0.91259,                0.96729,                0.72334,                0.90117,                0.57905,                0.83342,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0399,                0.68157,                0.83796,                0.97947,                0.89768,                0.97646,                0.72153,                0.88902,                0.58063,                0.83214,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0073,                0.65224,                0.82411,                0.98573,                0.92639,                0.97854,                0.72411,                0.86883,                0.50287,                0.82906,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0246,                0.64793,                0.82331,                 0.9439,                  0.917,                0.97118,                0.72011,                0.89592,                0.55619,                0.82348,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0135,                 0.6264,                0.82577,                0.98792,                0.89443,                0.96715,                 0.7162,                0.92259,                0.50539,                0.82889,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0129,                0.63447,                0.82907,                0.98896,                0.91214,                0.97038,                0.69869,                0.94294,                0.51153,                 0.8377,              0.0008119,              0.0008119,              0.0008119
                     21,                0.96818,                0.58995,                0.81942,                  0.944,                0.94199,                0.97741,                0.71181,                0.91267,                0.49391,                0.82949,               0.000802,               0.000802,               0.000802
                     22,                0.95811,                0.57699,                0.81725,                0.96208,                0.94953,                 0.9797,                 0.7259,                0.83606,                0.48128,                0.82477,              0.0007921,              0.0007921,              0.0007921
                     23,                0.97636,                0.59665,                 0.8185,                0.96422,                0.95257,                0.98025,                0.74902,                0.83882,                0.49884,                 0.8246,              0.0007822,              0.0007822,              0.0007822
                     24,                 0.9434,                0.57979,                0.81952,                0.99071,                0.94469,                0.97193,                0.74742,                0.86437,                0.46826,                0.82385,              0.0007723,              0.0007723,              0.0007723
                     25,                0.95102,                 0.5519,                0.81572,                0.95624,                0.93753,                0.98194,                0.74935,                0.86894,                0.48208,                0.82696,              0.0007624,              0.0007624,              0.0007624
                     26,                0.96292,                0.59201,                0.81993,                0.94124,                0.93629,                0.96857,                0.74811,                0.84594,                0.49439,                0.82178,              0.0007525,              0.0007525,              0.0007525
                     27,                0.95054,                0.56534,                0.81912,                0.96383,                0.93496,                0.97057,                0.74068,                0.85381,                0.48767,                0.82351,              0.0007426,              0.0007426,              0.0007426
                     28,                 0.9494,                0.54794,                0.81691,                0.97066,                0.93846,                0.97041,                0.72406,                0.89791,                0.48267,                0.82689,              0.0007327,              0.0007327,              0.0007327
                     29,                0.90477,                 0.5378,                0.81443,                0.98138,                0.94909,                0.98219,                0.72395,                0.87255,                0.46747,                0.82684,              0.0007228,              0.0007228,              0.0007228
                     30,                0.93954,                0.53893,                0.81736,                0.94576,                0.96009,                0.97849,                0.71172,                0.91579,                0.47715,                0.82903,              0.0007129,              0.0007129,              0.0007129
                     31,                0.92227,                0.53467,                0.81857,                0.96661,                 0.9369,                 0.9777,                0.73287,                0.88307,                0.47353,                0.82457,               0.000703,               0.000703,               0.000703
                     32,                  0.945,                0.54056,                0.81595,                0.98985,                 0.9082,                0.97276,                0.72735,                0.87048,                0.46598,                0.82199,              0.0006931,              0.0006931,              0.0006931
                     33,                0.93454,                0.52035,                0.81889,                0.98119,                0.95416,                0.98481,                0.73613,                0.82944,                0.43435,                0.82078,              0.0006832,              0.0006832,              0.0006832
                     34,                0.94505,                0.52696,                 0.8172,                0.98539,                0.92771,                0.97614,                0.74496,                0.84655,                0.46067,                0.82293,              0.0006733,              0.0006733,              0.0006733
                     35,                 0.9422,                0.50934,                0.81992,                0.95699,                0.97463,                0.98172,                0.75994,                0.86532,                 0.4728,                0.82259,              0.0006634,              0.0006634,              0.0006634
                     36,                0.89548,                0.49684,                0.81838,                0.98116,                0.96326,                0.98221,                0.75711,                0.83725,                0.44852,                0.82146,              0.0006535,              0.0006535,              0.0006535
                     37,                0.89192,                0.49587,                0.81601,                0.95746,                 0.9697,                0.98254,                0.73961,                0.86634,                0.45398,                0.82716,              0.0006436,              0.0006436,              0.0006436
                     38,                0.90863,                0.50711,                0.80912,                0.96964,                0.96955,                 0.9832,                0.74288,                0.85021,                0.44389,                0.82476,              0.0006337,              0.0006337,              0.0006337
                     39,                0.87382,                0.47527,                0.80896,                0.95686,                0.96927,                0.98339,                0.74389,                0.89317,                0.45685,                0.82585,              0.0006238,              0.0006238,              0.0006238
                     40,                0.88557,                0.50091,                0.80795,                0.96371,                0.94451,                0.96984,                0.75416,                0.84325,                0.43896,                0.82071,              0.0006139,              0.0006139,              0.0006139
                     41,                 0.8756,                 0.4879,                0.81192,                0.97334,                0.93261,                0.98186,                0.76336,                0.80758,                0.44345,                0.82034,               0.000604,               0.000604,               0.000604
                     42,                0.88764,                0.48653,                0.81104,                0.97338,                0.94545,                0.98292,                0.76466,                0.82142,                0.43725,                0.81926,              0.0005941,              0.0005941,              0.0005941
                     43,                0.87693,                 0.4775,                 0.8027,                0.96878,                0.95556,                 0.9713,                0.73854,                0.87234,                0.43278,                0.82119,              0.0005842,              0.0005842,              0.0005842
                     44,                 0.8847,                 0.4642,                0.81752,                0.99325,                0.93886,                0.97055,                0.74479,                0.81774,                0.40202,                0.81921,              0.0005743,              0.0005743,              0.0005743
                     45,                0.87847,                0.46554,                0.81126,                0.95199,                0.95922,                0.98481,                0.74092,                 0.8325,                0.40841,                0.82156,              0.0005644,              0.0005644,              0.0005644
                     46,                0.86924,                 0.4811,                0.81189,                0.96079,                 0.9732,                0.98526,                0.77531,                 0.7711,                0.40894,                0.81666,              0.0005545,              0.0005545,              0.0005545
                     47,                0.85179,                0.46634,                0.80546,                0.96784,                0.94984,                0.97309,                0.78252,                0.79362,                0.38886,                0.81571,              0.0005446,              0.0005446,              0.0005446
                     48,                0.85411,                0.45524,                0.80115,                 0.9455,                0.96551,                0.98349,                0.76842,                 0.8093,                0.40926,                0.81523,              0.0005347,              0.0005347,              0.0005347
                     49,                0.82839,                0.44918,                0.80643,                0.96898,                0.95556,                0.98428,                0.78769,                0.75141,                0.39514,                0.81343,              0.0005248,              0.0005248,              0.0005248
                     50,                0.80848,                 0.4446,                0.79683,                0.98346,                 0.9403,                0.98062,                0.76685,                0.80076,                0.40654,                0.81399,              0.0005149,              0.0005149,              0.0005149
                     51,                0.81191,                0.43683,                0.80629,                0.98169,                0.92916,                0.98244,                0.77052,                 0.8034,                 0.4039,                0.81692,               0.000505,               0.000505,               0.000505
                     52,                0.81691,                0.45736,                0.80336,                0.95619,                0.95453,                 0.9812,                0.76656,                0.75581,                0.39172,                 0.8149,              0.0004951,              0.0004951,              0.0004951
                     53,                0.81257,                0.44996,                0.81158,                0.96571,                0.95116,                0.98322,                0.75363,                0.79412,                0.42022,                0.81848,              0.0004852,              0.0004852,              0.0004852
                     54,                0.82124,                0.44854,                0.80906,                0.98599,                0.92898,                0.98412,                0.77615,                0.75908,                 0.3909,                 0.8146,              0.0004753,              0.0004753,              0.0004753
                     55,                0.80186,                0.44338,                0.80592,                0.95754,                0.95187,                0.98382,                0.76298,                0.79416,                0.39755,                0.81604,              0.0004654,              0.0004654,              0.0004654
                     56,                0.80565,                0.42806,                 0.7985,                0.98883,                0.92292,                 0.9813,                0.75602,                0.79265,                0.39737,                0.81475,              0.0004555,              0.0004555,              0.0004555
                     57,                0.80675,                0.43346,                0.79933,                0.96962,                0.95068,                0.98471,                0.78681,                0.78988,                0.39323,                0.81802,              0.0004456,              0.0004456,              0.0004456
                     58,                0.82958,                 0.4503,                0.80026,                0.99295,                0.92292,                0.97997,                0.77344,                0.76762,                0.38333,                0.81486,              0.0004357,              0.0004357,              0.0004357
                     59,                0.81064,                0.42526,                0.81322,                 0.9581,                0.95546,                0.98363,                0.76296,                0.76346,                0.39404,                0.81534,              0.0004258,              0.0004258,              0.0004258
                     60,                0.82915,                0.43169,                0.80663,                0.97521,                0.94514,                0.98266,                 0.7655,                0.80406,                0.39723,                0.81902,              0.0004159,              0.0004159,              0.0004159
                     61,                0.79545,                0.43197,                0.79916,                0.98858,                0.92556,                0.98508,                0.76757,                0.80015,                0.39183,                0.81959,               0.000406,               0.000406,               0.000406
                     62,                0.81545,                0.42109,                0.80226,                0.97241,                0.95171,                0.98466,                0.78601,                0.75678,                0.38304,                0.81551,              0.0003961,              0.0003961,              0.0003961
                     63,                0.81305,                0.41708,                0.80613,                0.97543,                0.94108,                0.98501,                0.77238,                0.78659,                 0.3851,                0.81788,              0.0003862,              0.0003862,              0.0003862
                     64,                0.77757,                 0.4149,                0.79762,                0.97423,                0.95191,                0.98523,                0.77369,                0.78511,                0.38913,                0.81796,              0.0003763,              0.0003763,              0.0003763
                     65,                0.76898,                0.41797,                0.80302,                0.98502,                0.94145,                0.98371,                0.76825,                0.76797,                0.37364,                0.81269,              0.0003664,              0.0003664,              0.0003664
                     66,                0.77462,                0.40576,                0.80354,                0.95904,                0.94674,                0.98586,                0.78751,                0.76275,                0.38769,                0.81313,              0.0003565,              0.0003565,              0.0003565
                     67,                0.76563,                0.40848,                0.80779,                0.96212,                0.95967,                0.98678,                 0.7766,                0.77836,                0.36051,                0.81643,              0.0003466,              0.0003466,              0.0003466
                     68,                0.78814,                0.41764,                0.80418,                0.97056,                0.95863,                 0.9882,                0.77523,                0.77312,                0.37366,                0.81563,              0.0003367,              0.0003367,              0.0003367
                     69,                0.77702,                0.41138,                 0.8063,                0.95327,                0.97074,                 0.9873,                0.78518,                0.75083,                0.36544,                0.81396,              0.0003268,              0.0003268,              0.0003268
                     70,                0.78315,                0.40991,                0.80365,                0.94712,                0.98064,                0.98762,                0.78779,                0.74673,                0.36233,                0.81512,              0.0003169,              0.0003169,              0.0003169
                     71,                0.75389,                0.39446,                0.79684,                0.95289,                 0.9826,                0.98806,                0.79203,                0.75499,                0.37823,                0.81158,               0.000307,               0.000307,               0.000307
                     72,                0.76713,                0.39534,                0.80571,                0.97354,                0.95833,                0.98794,                 0.7776,                0.78984,                0.36868,                0.81581,              0.0002971,              0.0002971,              0.0002971
                     73,                0.74528,                0.40335,                0.79746,                0.96846,                0.95958,                 0.9882,                0.77924,                0.76492,                0.37723,                0.81491,              0.0002872,              0.0002872,              0.0002872
                     74,                0.76526,                0.39347,                0.79995,                0.96596,                0.95931,                0.98659,                0.77213,                0.77458,                0.37135,                0.81568,              0.0002773,              0.0002773,              0.0002773
                     75,                0.74081,                0.39031,                0.79978,                0.97299,                0.95727,                0.98723,                0.78459,                0.74515,                0.35821,                0.81445,              0.0002674,              0.0002674,              0.0002674
                     76,                0.74474,                0.37804,                0.79783,                0.96074,                0.97231,                0.98772,                0.79544,                0.75428,                0.35815,                0.81331,              0.0002575,              0.0002575,              0.0002575
                     77,                0.74473,                 0.3829,                 0.7974,                0.95252,                0.97993,                0.98772,                0.79474,                0.73808,                0.33892,                0.81502,              0.0002476,              0.0002476,              0.0002476
                     78,                0.74534,                 0.3856,                0.79417,                0.95302,                0.98347,                0.98834,                0.79055,                 0.7678,                0.36096,                0.81392,              0.0002377,              0.0002377,              0.0002377
                     79,                0.76697,                0.39377,                0.79639,                0.95469,                0.98471,                0.98783,                0.79145,                0.74089,                0.35253,                0.81193,              0.0002278,              0.0002278,              0.0002278
                     80,                0.71365,                0.37451,                 0.7886,                0.95645,                0.98464,                0.98723,                0.78985,                0.75201,                0.34869,                0.81424,              0.0002179,              0.0002179,              0.0002179
                     81,                0.72364,                0.36874,                0.80077,                0.95576,                0.98242,                0.98783,                0.80548,                0.72149,                0.34512,                0.81105,               0.000208,               0.000208,               0.000208
                     82,                0.70583,                0.36627,                0.79766,                0.95363,                0.98591,                0.98806,                0.80199,                0.71099,                0.33749,                0.81154,              0.0001981,              0.0001981,              0.0001981
                     83,                0.71615,                 0.3672,                0.79798,                0.95304,                0.97952,                0.98868,                 0.7989,                0.72493,                0.33591,                0.81228,              0.0001882,              0.0001882,              0.0001882
                     84,                0.74525,                0.37603,                0.79671,                0.95264,                0.98009,                0.98806,                0.79334,                0.74165,                0.33578,                0.81402,              0.0001783,              0.0001783,              0.0001783
                     85,                0.71373,                  0.366,                0.80243,                0.95167,                0.98042,                0.98783,                0.80254,                0.72807,                0.33345,                0.81162,              0.0001684,              0.0001684,              0.0001684
                     86,                0.74364,                0.38124,                0.80072,                0.95221,                0.98038,                0.98794,                0.79996,                0.71144,                0.32933,                0.81043,              0.0001585,              0.0001585,              0.0001585
                     87,                0.71355,                0.36656,                 0.8018,                0.95229,                0.98228,                0.98737,                 0.7911,                0.71706,                0.32883,                0.81138,              0.0001486,              0.0001486,              0.0001486
                     88,                0.70212,                0.36242,                0.79769,                0.98215,                0.95614,                0.98659,                0.79139,                0.72452,                0.33265,                0.81213,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.6949,                0.35822,                0.79593,                0.98139,                0.95556,                0.98462,                0.79708,                0.71191,                0.33063,                 0.8106,              0.0001288,              0.0001288,              0.0001288
                     90,                0.68828,                0.35389,                0.79051,                0.97574,                0.96011,                0.98705,                0.80143,                0.71556,                0.33114,                0.81308,              0.0001189,              0.0001189,              0.0001189
                     91,                0.72256,                0.35867,                0.79651,                0.97719,                0.95806,                0.98716,                0.76924,                0.76876,                0.33849,                0.81606,               0.000109,               0.000109,               0.000109
                     92,                0.68579,                0.33663,                0.79426,                0.97752,                0.95764,                0.98723,                0.79759,                0.72724,                0.32897,                 0.8118,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.6915,                0.34059,                0.79905,                0.98062,                0.95738,                0.98753,                0.80269,                0.70098,                0.32949,                0.81085,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.68671,                0.34855,                0.80162,                0.97967,                0.95837,                0.98716,                0.80157,                0.71262,                0.32631,                0.81095,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.67095,                0.33469,                0.79206,                0.98154,                 0.9585,                0.98728,                0.80926,                0.69725,                0.31252,                0.80974,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.68807,                0.34177,                0.80405,                0.98286,                0.95826,                0.98742,                0.80048,                0.70693,                0.31766,                0.81022,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.68551,                0.34003,                0.79198,                0.97967,                0.95826,                0.98756,                0.80604,                0.70135,                0.30776,                 0.8102,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.65541,                0.33548,                0.79316,                0.95565,                0.97787,                0.98868,                0.80907,                 0.6996,                0.31273,                 0.8111,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.67966,                0.33396,                0.79378,                0.95519,                0.97982,                0.98868,                0.81088,                0.69524,                0.31314,                0.81014,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.66347,                0.34065,                0.80227,                0.95515,                0.97973,                0.98868,                0.80654,                0.70237,                 0.3113,                0.81072,               1.99e-05,               1.99e-05,               1.99e-05
